"id","parent_id","level","name","merger_name"
"016","01","2","教育音像","图书、音像、电子书刊,音像,教育音像"
"0739","07","2","旅游","图书、音像、电子书刊,生活,旅游"
"01158","011","2","杂志/期刊","图书、音像、电子书刊,其他,杂志/期刊"
"11477","114","2","创意配件","手机,手机配件,创意配件"
"218113","218","2","嵌入式微蒸烤","家用电器,厨卫大电,嵌入式微蒸烤"
"219130","219","2","其它厨房电器","家用电器,厨房小电,其它厨房电器"
"219131","219","2","养生壶/煎药壶","家用电器,厨房小电,养生壶/煎药壶"
"222183","222","2","商用压面机","家用电器,商用电器,商用压面机"
"222189","222","2","商用开水器","家用电器,商用电器,商用开水器"
"223221","223","2","家电清洗","家用电器,家电服务,家电清洗"
"225237","225","2","KTV音响","家用电器,视听影音,KTV音响"
"327252","327","2","滤镜","数码,数码配件,滤镜"
"330284","330","2","电子词典","数码,电子教育,电子词典"
"436318","436","2","医疗保健","家居家装,宠物生活,医疗保健"
"539347","539","2","移动硬盘","电脑办公,外设产品,移动硬盘"
"541372","541","2","网络盒子","电脑办公,网络产品,网络盒子"
"547408","547","2","纸类","电脑办公,办公耗材,纸类"
"547409","547","2","硒鼓","电脑办公,办公耗材,硒鼓"
"648421","648","2","火锅","厨具,烹饪锅具,火锅"
"650428","650","2","保鲜盒","厨具,厨房配件,保鲜盒"
"652452","652","2","刀/叉/勺","厨具,餐具,刀/叉/勺"
"759520","759","2","气垫CC/CC霜","个护化妆,香水彩妆,气垫CC/CC霜"
"759528","759","2","眉笔/眉粉","个护化妆,香水彩妆,眉笔/眉粉"
"8",,"0","服饰内衣",
"860552","860","2","打底衫","服饰内衣,女装,打底衫"
"861588","861","2","卫裤/运动裤","服饰内衣,男装,卫裤/运动裤"
"862610","862","2","内衣配件","服饰内衣,内衣,内衣配件"
"864628","864","2","鸭舌帽","服饰内衣,服饰配件,鸭舌帽"
"864639","864","2","假领","服饰内衣,服饰配件,假领"
"864640","864","2","毛线/布面料","服饰内衣,服饰配件,毛线/布面料"
"1069665","1069","2","工装鞋","鞋靴,流行男鞋,工装鞋"
"1175724","1175","2","婴儿礼盒","母婴,童装,婴儿礼盒"
"1279758","1279","2","创意礼品","礼品箱包,礼品,创意礼品"
"1384800","1384","2","米面调味","食品饮料、保健食品,进口食品,米面调味"
"1493872","1493","2","黄金项链","珠宝,黄金,黄金项链"
"1496","14","1","银饰","珠宝,银饰"
"14103931","14103","2","更多玉石","珠宝,其它玉石,更多玉石"
"14104939","14104","2","檀香","珠宝,木手串/把件,檀香"
"14105942","14105","2","珍珠耳饰","珠宝,珍珠,珍珠耳饰"
"151091041","15109","2","洗车水桶","汽车用品,美容清洗,洗车水桶"
"151101071","15110","2","汽车钥匙扣/包","汽车用品,汽车装饰,汽车钥匙扣/包"
"151121148","15112","2","车辆改装","汽车用品,汽车服务,车辆改装"
"151121152","15112","2","车务","汽车用品,汽车服务,车务"
"161161195","16116","2","摇号机","运动健康,棋牌麻将,摇号机"
"161181208","16118","2","电动滑板车","运动健康,骑行运动,电动滑板车"
"161181212","16118","2","城市自行车","运动健康,骑行运动,城市自行车"
"161191226","16119","2","钓箱钓椅","运动健康,垂钓用品,钓箱钓椅"
"161241299","16124","2","瑜伽砖","运动健康,瑜伽舞蹈,瑜伽砖"
"161251309","16125","2","马术服装","运动健康,马术/民俗运动,马术服装"
"161251313","16125","2","马匹装备","运动健康,马术/民俗运动,马匹装备"
"161281364","16128","2","功能内衣","运动健康,户外鞋服,功能内衣"
"161291391","16129","2","救援装备","运动健康,户外装备,救援装备"
"161301410","16130","2","壶铃","运动健康,健身训练,壶铃"
"161311445","16131","2","高尔夫手套","运动健康,体育用品,高尔夫手套"
"161311471","16131","2","跳高杆","运动健康,体育用品,跳高杆"
"161311533","16131","2","篮球架","运动健康,体育用品,篮球架"
"171361571","17136","2","跳舞毯/游戏毯","玩具乐器,跳舞毯/游戏毯,跳舞毯/游戏毯"
"17137","17","1","潮玩/动漫","玩具乐器,潮玩/动漫"
"171391590","17139","2","拼图","玩具乐器,积木拼插,拼图"
"171391591","17139","2","磁力片/棒","玩具乐器,积木拼插,磁力片/棒"
"171411600","17141","2","减压玩具","玩具乐器,创意减压,减压玩具"
"171421602","17142","2","电脑音乐","玩具乐器,其它乐器,电脑音乐"
"171511677","17151","2","手风琴","玩具乐器,键盘乐器,手风琴"
"171601712","17160","2","船模","玩具乐器,油动/电动模型,船模"
"171641733","17164","2","婴儿健身架","玩具乐器,健身架/爬行学步玩具,婴儿健身架"
"191771814","19177","2","海产干货","生鲜,海鲜水产,海产干货"
"191791829","19179","2","新鲜蛋糕","生鲜,面点烘焙,新鲜蛋糕"
"191821843","19182","2","鲜菌菇","生鲜,蔬菜,鲜菌菇"
"201841857","20184","2","紧凑型轿车（二手）","整车,二手车,紧凑型轿车（二手）"
"0210","02","2","文学","图书、音像、电子书刊,英文原版,文学"
"0525","05","2","国学","图书、音像、电子书刊,人文社科,国学"
"0736","07","2","生活","图书、音像、电子书刊,生活,生活"
"01054","010","2","经济管理","图书、音像、电子书刊,港台图书,经济管理"
"1",,"0","手机",
"112","1","1","手机","手机,手机"
"217","2","1","大 家 电","家用电器,大 家 电"
"217101","217","2","洗烘套装","家用电器,大 家 电,洗烘套装"
"219124","219","2","煮蛋器","家用电器,厨房小电,煮蛋器"
"219125","219","2","酸奶机","家用电器,厨房小电,酸奶机"
"221161","221","2","剃须刀","家用电器,个护健康,剃须刀"
"221164","221","2","电吹风","家用电器,个护健康,电吹风"
"222200","222","2","商用和面机/打蛋机","家用电器,商用电器,商用和面机/打蛋机"
"222203","222","2","关东煮机","家用电器,商用电器,关东煮机"
"222207","222","2","爆米花机","家用电器,商用电器,爆米花机"
"222215","222","2","油烟净化器","家用电器,商用电器,油烟净化器"
"223222","223","2","家电维修","家用电器,家电服务,家电维修"
"326241","326","2","单反相机","数码,摄影摄像,单反相机"
"327259","327","2","电池/充电器","数码,数码配件,电池/充电器"
"434298","434","2","保暖防护","家居家装,生活日用,保暖防护"
"436","4","1","宠物生活","家居家装,宠物生活"
"436321","436","2","出行装备","家居家装,宠物生活,出行装备"
"539351","539","2","鼠标垫","电脑办公,外设产品,鼠标垫"
"540363","540","2","游戏耳机","电脑办公,游戏设备,游戏耳机"
"542383","542","2","收银机","电脑办公,办公设备,收银机"
"543395","543","2","计算器","电脑办公,文具,计算器"
"544400","544","2","电脑办公设备保养","电脑办公,服务产品,电脑办公设备保养"
"649425","649","2","砧板","厨具,刀剪菜板,砧板"
"654460","654","2","茶叶罐","厨具,茶具,茶叶罐"
"756476","756","2","男士眼霜/眼部精华","个护化妆,男士面部护肤,男士眼霜/眼部精华"
"758508","758","2","其它面部护肤","个护化妆,面部护肤,其它面部护肤"
"759518","759","2","隔离霜/妆前乳","个护化妆,香水彩妆,隔离霜/妆前乳"
"861567","861","2","针织衫","服饰内衣,男装,针织衫"
"862595","862","2","男式内裤","服饰内衣,内衣,男式内裤"
"862602","862","2","美腿袜","服饰内衣,内衣,美腿袜"
"862608","862","2","休闲棉袜","服饰内衣,内衣,休闲棉袜"
"862613","862","2","秋衣秋裤","服饰内衣,内衣,秋衣秋裤"
"864629","864","2","贝雷帽","服饰内衣,服饰配件,贝雷帽"
"864631","864","2","真皮手套","服饰内衣,服饰配件,真皮手套"
"864636","864","2","遮阳伞/雨伞","服饰内衣,服饰配件,遮阳伞/雨伞"
"966","9","1","时钟","钟表,时钟"
"1279760","1279","2","婚庆节庆","礼品箱包,礼品,婚庆节庆"
"1279761","1279","2","电子礼品","礼品箱包,礼品,电子礼品"
"1281782","1281","2","烟嘴","礼品箱包,火机烟具,烟嘴"
"1384797","1384","2","糖果/巧克力","食品饮料、保健食品,进口食品,糖果/巧克力"
"1389841","1389","2","粽子","食品饮料、保健食品,食品礼券,粽子"
"1493","14","1","黄金","珠宝,黄金"
"1497892","1497","2","裸钻","珠宝,钻石,裸钻"
"14100911","14100","2","坦桑石","珠宝,彩宝,坦桑石"
"14100915","14100","2","其他天然宝石","珠宝,彩宝,其他天然宝石"
"14101919","14101","2","和田玉手链","珠宝,和田玉,和田玉手链"
"14102","14","1","铂金","珠宝,铂金"
"14103927","14103","2","青金石","珠宝,其它玉石,青金石"
"14106946","14106","2","合成钻石","珠宝,合成/人造宝石,合成钻石"
